Drug,SMILES,Type,pKa_exp,pkasolver_pKa_acid,opera_pKa_acid,molgpka_pKa_acid,unipka_pKa_acid,pkasolver_pKa_base,opera_pKa_base,molgpka_pKa_base,unipka_pKa_base,pkasolver_FG_acid,pkasolver_FG_base,molgpka_acid_raw,molgpka_base_raw,molgpka_acid_N,molgpka_base_N
Piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,ACID,4.5,3.147769546508789,4.22,4.29,5.90161365,NA,NA,3.95,3.486915275,sulfonamide,NA,"4.29, 12.38","3.95, 3.34",2,2
Quinapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2ccccc2C[C@H]1C(=O)O,ACID,NA,5.1470898914337155,6.81,3.4,6.257597141,7.011193199157715,NA,5.23,3.027017924,carboxylate,aliphatic_amine,3.4,5.23,1,1
Sulfasalazine,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,ACID,2.325,4.096194133758545,4.01,6.12,NA,4.088634309768676,NA,NA,NA,sulfonamide,heterocyclic_N_basic_6ring,"2.61, 6.12, 7.22",1.72,3,1
Warfarin,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,NEUTRAL,4.9,5.562382507324219,NA,4.48,4.533883185,NA,NA,NA,NA,phenol,NA,4.48,NA,1,0
Albendazole,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,ACID,NA,3.8124605083465575,10.58,9.57,9.721903557,9.965320587158203,NA,5.3,3.207588247,carbamate,heterocyclic_N_basic_5ring_polyhet,"9.57, 10.14",5.3,2,1
Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,BASE,NA,10.511249542236328,NA,NA,NA,7.559629764556885,7.05,7.69,7.875325242,acidic_amide,aliphatic_amine,13.81,"6.37, 7.69, 5.19",1,3
Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,BASE,9.440000000000001,NA,NA,NA,NA,9.605813484191895,7.36,9.67,8.913747263,NA,aliphatic_amine,NA,9.67,0,1
Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,BASE,NA,9.87073450088501,NA,NA,NA,3.636273889541626,1.49,4.08,NA,acidic_aniline,aliphatic_amine,"13.63, 13.63, 13.63, 13.63","4.08, 4.08",4,2
Efavirenz,O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,ACID,7.18,4.930407848358154,9.38,10,9.996569682,NA,NA,NA,NA,carbamate,NA,10,NA,1,0
Lopinavir,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ACID,NA,8.196475296020507,8.45,NA,NA,NA,NA,NA,3.146939938,acidic_amide,NA,"13.72, 13.66, 13.73, 13.73",NA,4,0
