Drug,ChEMBL_ID,MW,PSA,HBD,HBA,LogP,Fu_median,N_fu,Fu_values,Fu_flag,SMILES,PPB_value,Fu_from_PPB,N_ppb,Fu_source,Fu_final,pKa_exp,N_pka,pKa_values,LogD74_exp,N_logd,LogD_values
TRIPROLIDINE,CHEMBL855,278.40,16.13,0,2,3.92,NA,0,NA,NA,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,35.46,0.6454,1,ChEMBL_PPB,0.6454,9.69,3,"9.69, 9.25, 9.69",NA,0,NA
VENLAFAXINE,CHEMBL637,277.41,32.70,1,3,3.04,0.73,2,"0.73, 0.73",NA,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,NA,NA,NA,ChEMBL_Fu,0.73,9.6,8,"9.5, 9.2, 9.9, 9.9, 9.5, 9.7, 9.5, 10",0.88,3,"0.88, 1, 0.88"
VERAPAMIL,CHEMBL6966,454.61,63.95,0,6,5.09,0.14550000000000002,8,"0.1, 0.093, 0.137, 0.154, 0.16, 0.233, 0.79, 0.01",NA,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,NA,NA,NA,ChEMBL_Fu,0.14550000000000002,8.92,18,"9.2, 8.92, 8.29, 8.9, 9.04, 8.92, 8.68, 4.18, 8.92, 8.92, 8.92, 8.76, 1.36, 9.07, 8.92, 8.9, 8.7, 9",2.5949999999999998,4,"1.91, 3.4, 2.52, 2.67"
ZIDOVUDINE,CHEMBL129,267.24,133.08,2,6,-0.20,0.77,3,"0.77, 0.8, 0.695",NA,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,NA,NA,NA,ChEMBL_Fu,0.77,NA,0,NA,NA,0,NA
ZOLPIDEM,CHEMBL911,307.40,37.61,0,3,3.25,0.08,1,0.08,NA,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,NA,NA,NA,ChEMBL_Fu,0.08,6.02,2,"6.02, 6.02",2.325,2,"2.35, 2.3"
ABACAVIR,CHEMBL1380,286.34,101.88,3,7,1.09,0.5,1,0.5,NA,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,NA,NA,NA,ChEMBL_Fu,0.5,NA,0,NA,NA,0,NA
APIXABAN,CHEMBL231779,459.51,110.76,1,6,2.70,0.07,1,0.07,NA,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,NA,NA,NA,ChEMBL_Fu,0.07,8.56,1,8.56,NA,0,NA
BUDESONIDE,CHEMBL1370,430.54,93.06,2,6,2.72,0.13,1,0.13,NA,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,NA,NA,NA,ChEMBL_Fu,0.13,NA,0,NA,NA,0,NA
DOXAZOSIN,CHEMBL707,451.48,112.27,1,9,1.72,0.017,1,0.017,NA,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,NA,NA,NA,ChEMBL_Fu,0.017,6.7,2,"6.5, 6.9",NA,0,NA
ESTRADIOL,CHEMBL135,272.39,40.46,2,2,3.61,0.015,3,"0.015, 0.015, 0.016",NA,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,NA,NA,NA,ChEMBL_Fu,0.015,NA,0,NA,4.01,1,4.01
